"","nodes"
"1","ABCE1"
"2","ACTL6A"
"3","AGT"
"4","AHCY"
"5","ANKRD22"
"6","ANLN"
"7","ANXA3"
"8","ARID3A"
"9","ASB9"
"10","ASCL2"
"11","ASF1B"
"12","ASPM"
"13","ATAD2"
"14","AURKA"
"15","AURKB"
"16","AXIN2"
"17","AZGP1"
"18","BACE2"
"19","BMP7"
"20","BOP1"
"21","BUB1"
"22","BUB1B"
"23","C4BPB"
"24","CA9"
"25","CCL20"
"26","CCL8"
"27","CCNA2"
"28","CCNB1"
"29","CCNB2"
"30","CCT2"
"31","CD209"
"32","CD46"
"33","CD55"
"34","CDC20"
"35","CDC25A"
"36","CDC25B"
"37","CDCA3"
"38","CDCA5"
"39","CDCA7"
"40","CDCA8"
"41","CDH3"
"42","CDK4"
"43","CDKN3"
"44","CDT1"
"45","CEL"
"46","CENPA"
"47","CENPF"
"48","CEP55"
"49","CFB"
"50","CHEK1"
"51","CHTF18"
"52","CKMT2"
"53","CKS1B"
"54","CKS2"
"55","CLDN1"
"56","CLDN2"
"57","COL7A1"
"58","CSE1L"
"59","CXCL1"
"60","CXCL10"
"61","CXCL2"
"62","CXCL5"
"63","CXCL6"
"64","CXCL9"
"65","DCUN1D5"
"66","DDIT4"
"67","DDX21"
"68","DHCR7"
"69","DKC1"
"70","DNMT1"
"71","DNTTIP1"
"72","DPM1"
"73","DTL"
"74","DUSP4"
"75","E2F5"
"76","ENC1"
"77","EPHB3"
"78","EPSTI1"
"79","ETV4"
"80","EVPL"
"81","EXO1"
"82","EXOSC5"
"83","F12"
"84","FASN"
"85","FBL"
"86","FOXA2"
"87","FOXQ1"
"88","GDF15"
"89","GGH"
"90","GNG4"
"91","GPT2"
"92","GZMB"
"93","HMGB2"
"94","HMMR"
"95","HOXB8"
"96","HSPD1"
"97","HSPE1"
"98","HSPH1"
"99","IER3"
"100","IL11"
"101","IMPDH1"
"102","IMPDH2"
"103","IQGAP3"
"104","ITGA2"
"105","KCNN4"
"106","KIF11"
"107","KIF15"
"108","KIF20A"
"109","KIF2C"
"110","KIF4A"
"111","KLK10"
"112","LAPTM4B"
"113","LMNB2"
"114","LRP8"
"115","LY6G6D"
"116","LYAR"
"117","MAD2L1"
"118","MCM2"
"119","MCM3"
"120","MCM4"
"121","MCM7"
"122","MELK"
"123","MET"
"124","MLXIPL"
"125","MMP1"
"126","MMP10"
"127","MMP11"
"128","MMP12"
"129","MMP3"
"130","MMP7"
"131","MSX1"
"132","MTHFD1L"
"133","MTHFD2"
"134","MYC"
"135","NKD1"
"136","NMU"
"137","NUSAP1"
"138","ODC1"
"139","PAICS"
"140","PBK"
"141","PCLAF"
"142","PHLDA1"
"143","PLAU"
"144","POLQ"
"145","POLR1C"
"146","PPA1"
"147","PPAT"
"148","PRC1"
"149","PRKDC"
"150","PSAT1"
"151","PTTG1"
"152","PUS1"
"153","PUS7"
"154","RAD51AP1"
"155","RAD54L"
"156","RANBP1"
"157","RCC2"
"158","RFC4"
"159","RNASEH2A"
"160","RNF43"
"161","RPL29"
"162","RPP40"
"163","RPS15"
"164","RPS21"
"165","RPS7"
"166","RRS1"
"167","S100P"
"168","SALL4"
"169","SCD"
"170","SERPINB5"
"171","SHMT2"
"172","SLC2A1"
"173","SLC6A14"
"174","SLC7A5"
"175","SNRPB"
"176","SOX4"
"177","SRPK1"
"178","STC1"
"179","STC2"
"180","STIL"
"181","TACC3"
"182","TFDP1"
"183","TGFBI"
"184","TIMELESS"
"185","TK1"
"186","TOP2A"
"187","TPX2"
"188","TRIM29"
"189","TRIP13"
"190","TROAP"
"191","TTK"
"192","TYMS"
"193","UBE2C"
"194","UBE2T"
"195","WDR12"
"196","SNRPF"
"197","NPY"
"198","RTKN"
"199","UHRF1"
"200","S100A11"
"201","TEAD4"
"202","SOX9"
"203","NKD2"
"204","CST1"
"205","HKDC1"
"206","WDR4"
"207","DPEP1"
"208","MSLN"
"209","IL24"
"210","TRAP1"
"211","TRIB3"
"212","VSNL1"
"213","PAQR4"
"214","TNFRSF12A"
"215","IFITM1"
"216","TMEM97"
"217","SQLE"
"218","PCSK9"
"219","TTF2"
"220","PLAGL2"
"221","PLEK2"
"222","PROX1"
"223","TGIF2"
"224","ZIC2"
"225","NCOA7"
"226","PRDX4"
"227","TNFRSF11B"
"228","PLEKHG4"
"229","SLC12A2"
"230","KLK11"
"231","SLCO1B3"
"232","TCN1"
"233","SRPX2"
"234","TOMM34"
"235","SLCO4A1"
