,Centrality measure,Contribution
1,Closeness.centrality..Latora.,3.255227343
2,Harmonic.Centrality,3.255227343
3,Diffusion.Degree,3.252542816
4,Lobby.Index..Centrality.,3.24134815
5,Kleinberg.s.authority.centrality.scores,3.238255279
6,Kleinberg.s.hub.centrality.scores,3.238255279
7,eigenvector.centralities,3.238255279
8,Degree.Centrality,3.237059973
9,K.core.Decomposition,3.236243201
10,MNC...Maximum.Neighborhood.Component,3.231983058
11,Markov.Centrality,3.23063635
12,Decay.Centrality,3.22847359
13,Residual.Closeness.Centrality,3.22847359
14,Dangalchev.Closeness.Centrality,3.22847359
15,Laplacian.Centrality,3.218786359
16,ClusterRank,3.201754719
17,Closeness.Centrality..Freeman.,3.189755586
18,Lin.Centrality,3.189755586
19,Barycenter.Centrality,3.189755586
20,Average.Distance,3.133735282
21,Radiality.Centrality,3.133735282
22,Wiener.Index.Centrality,3.133735282
23,subgraph.centrality.scores,3.132737109
24,DMNC...Density.of.Maximum.Neighborhood.Component,2.97263369
25,Geodesic.K.Path.Centrality,2.823405284
26,Group.Centrality,2.796494178
27,Topological.Coefficient,2.474842177
28,Leverage.Centrality,2.324614378
29,BottleNeck.Centrality,2.295053965
30,Eccentricity.Centrality,2.075687856
31,clustering.coefficient,1.919884716
32,Shortest.Paths.Betweenness.Centrality,1.691015614
33,Harary.Centrality,1.312944226
34,Information.Centrality,1.233918908
35,Entropy.Centrality,0.740526648
36,Local.Bridging.Centrality,0.69961634
37,Load.Centrality,0.395864004
38,Stress.Centrality,0.37929238
