"","Centrality measure","Contribution"
"1","Closeness.centrality..Latora.",3.25835638599266
"2","Harmonic.Centrality",3.25835638599266
"3","Diffusion.Degree",3.25508803574803
"4","Degree.Centrality",3.25124039946205
"5","Markov.Centrality",3.24366381860049
"6","Lobby.Index..Centrality.",3.24120468890904
"7","Residual.Closeness.Centrality",3.23868353397925
"8","Decay.Centrality",3.23868353397925
"9","Dangalchev.Closeness.Centrality",3.23868353397925
"10","K.core.Decomposition",3.23818170011341
"11","MNC...Maximum.Neighborhood.Component",3.23661981967965
"12","Laplacian.Centrality",3.23644469720293
"13","Kleinberg.s.authority.centrality.scores",3.23624524429538
"14","Kleinberg.s.hub.centrality.scores",3.23624524429538
"15","eigenvector.centralities",3.23624524429538
"16","Lin.Centrality",3.21584124253236
"17","Barycenter.Centrality",3.21584124253235
"18","Closeness.Centrality..Freeman.",3.21584124253235
"19","ClusterRank",3.19486943178296
"20","Radiality.Centrality",3.18424606433146
"21","Average.Distance",3.18424606433145
"22","Wiener.Index.Centrality",3.18424606433145
"23","subgraph.centrality.scores",3.15005658218211
"24","Group.Centrality",3.02346630206027
"25","Geodesic.K.Path.Centrality",2.96115348819032
"26","Eccentricity.Centrality",2.62447024294374
"27","BottleNeck.Centrality",2.48867934915083
"28","Leverage.Centrality",2.3810893078797
"29","Topological.Coefficient",2.37446481157909
"30","DMNC...Density.of.Maximum.Neighborhood.Component",2.03557438664976
"31","clustering.coefficient",1.93819764033336
"32","Shortest.Paths.Betweenness.Centrality",1.8927988340211
"33","Harary.Centrality",1.06063632117136
"34","Local.Bridging.Centrality",0.729131034455245
"35","Information.Centrality",0.656487195200186
"36","Entropy.Centrality",0.638440604225282
"37","Load.Centrality",0.535191150929031
"38","Stress.Centrality",0.4710891301293
